测试,#genre#
北京卫视 高清, http://219.159.194.195:8181/tsfile/live/0122_1.m3u8
东南卫视 高清, http://219.159.194.195:8181/tsfile/live/0137_1.m3u8
山东卫视 高清, http://219.159.194.195:8181/tsfile/live/0131_1.m3u8
江西卫视 高清, http://219.159.194.195:8181/tsfile/live/0138_1.m3u8
贵州卫视 高清, http://219.159.194.195:8181/tsfile/live/0120_1.m3u8
四川卫视 高清, http://219.159.194.195:8181/tsfile/live/0123_1.m3u8
CCTV14-少儿 高清, http://219.159.194.195:8181/tsfile/live/0014_1.m3u8
CCTV4-国际 高清, http://219.159.194.195:8181/tsfile/live/0004_1.m3u8
湖南卫视 高清, http://219.159.194.195:8181/tsfile/live/0128_1.m3u8
金鹰纪实 高清, http://219.159.194.195:8181/tsfile/live/1016_1.m3u8
教育一套高清, http://219.159.194.195:8181/tsfile/live/1017_1.m3u8
CCTV5-体育, http://219.159.194.195:8181/tsfile/live/0005_1.m3u8
广西卫视 高清, http://219.159.194.195:8181/tsfile/live/0113_1.m3u8
CCTV8-电视剧, http://219.159.194.195:8181/tsfile/live/0008_1.m3u8
家庭影院, http://219.159.194.195:8181/tsfile/live/1018_1.m3u8
动作电影 高清, http://219.159.194.195:8181/tsfile/live/1019_1.m3u8
南宁综合 高清, http://219.159.194.195:8181/tsfile/live/0143_1.m3u8
CCTV16 高清, http://219.159.194.195:8181/tsfile/live/1021_1.m3u8
安徽卫视 高清, http://219.159.194.195:8181/tsfile/live/0130_1.m3u8
辽宁卫视 高清, http://219.159.194.195:8181/tsfile/live/0121_1.m3u8
CCTV3-综艺, http://219.159.194.195:8181/tsfile/live/0003_1.m3u8
CCTV6-电影, http://219.159.194.195:8181/tsfile/live/0006_1.m3u8
CCTV9-纪录, http://219.159.194.195:8181/tsfile/live/0009_1.m3u8
CCTV11-戏曲, http://219.159.194.195:8181/tsfile/live/0011_1.m3u8
CCTV13-新闻, http://219.159.194.195:8181/tsfile/live/0013_1.m3u8
CCTV15-音乐, http://219.159.194.195:8181/tsfile/live/0015_1.m3u8
CCTV17, http://219.159.194.195:8181/tsfile/live/0019_1.m3u8
上海卫视, http://219.159.194.195:8181/tsfile/live/0107_1.m3u8
浙江卫视, http://219.159.194.195:8181/tsfile/live/0124_1.m3u8
深圳卫视, http://219.159.194.195:8181/tsfile/live/0126_1.m3u8
天津卫视, http://219.159.194.195:8181/tsfile/live/0135_1.m3u8
湖北卫视, http://219.159.194.195:8181/tsfile/live/0132_1.m3u8
黑龙江卫视+, http://219.159.194.195:8181/tsfile/live/0143_2.m3u8
广东卫视, http://219.159.194.195:8181/tsfile/live/0125_1.m3u8
江苏卫视, http://219.159.194.195:8181/tsfile/live/0127_1.m3u8
吉林卫视, http://219.159.194.195:8181/tsfile/live/0116_1.m3u8
河北卫视, http://219.159.194.195:8181/tsfile/live/0117_1.m3u8
经典电影, http://219.159.194.195:8181/tsfile/live/1008_1.m3u8
甘肃卫视, http://219.159.194.195:8181/tsfile/live/0141_1.m3u8
中国气象, http://219.159.194.195:8181/tsfile/live/1015_1.m3u8
陕西卫视, http://219.159.194.195:8181/tsfile/live/0136_1.m3u8
云南卫视, http://219.159.194.195:8181/tsfile/live/0119_1.m3u8
康巴卫视, http://219.159.194.195:8181/tsfile/live/0134_1.m3u8
重庆卫视, http://219.159.194.195:8181/tsfile/live/0142_1.m3u8
旅游卫视, http://219.159.194.195:8181/tsfile/live/0114_1.m3u8
西藏卫视, http://219.159.194.195:8181/tsfile/live/0111_1.m3u8
内蒙古卫视, http://219.159.194.195:8181/tsfile/live/0109_1.m3u8
兵团卫视, http://219.159.194.195:8181/tsfile/live/0115_1.m3u8
青海卫视, http://219.159.194.195:8181/tsfile/live/0140_1.m3u8
新,#genre#
广西科教,http://222.84.98.48:4200/udp/239.81.0.11:4056
广西都市,http://222.84.98.48:4200/udp/239.81.0.247:4056
广西国际,http://222.84.98.48:4200/udp/239.81.0.8:4056
广西乐思购,http://222.84.98.48:4200/udp/239.81.0.9:4056
广西移动电视,http://222.84.98.48:4200/udp/239.81.0.10:4056
南宁新闻,http://222.84.98.48:4200/udp/239.81.0.241:4056
广西IPTV影院,http://222.84.98.48:4200/udp/239.81.0.100:4056
广西旅游,http://116.9.204.242:9901/tsfile/live/0125_1.m3u8
宾阳新闻综合,https://live.mudu.tv/watch/w4j7vs.m3u8
